"","x"
"1","Click Here"
"2","Assist"
"3","Block"
"4","Carry"
"5","Check"
"6","Controlledentry"
"7","Controlledentryagainst"
"8","Controlledexit"
"9","Dumpin"
"10","Dumpout"
"11","Faceoff"
"12","Icing"
"13","Lpr"
"14","Offside"
"15","Pass"
"16","Penalty"
"17","Penaltydrawn"
"18","Puckprotection"
"19","Rebound"
"20","Reception"
"21","Save"
"22","Shot"
"23","Sogoal"
"24","Soshot"
