"","x"
"1","Click Here"
"2","Defence (Behind Goal)"
"3","Right Defence"
"4","Centre Defence"
"5","Left Defence"
"6","Left Midfield Defence"
"7","Right Midfield Defence"
"8","Centre Midfield Defence"
"9","Centre Midfield Offence"
"10","Left Midfield Offence"
"11","Right Midfield Offence"
"12","Left Attack"
"13","Right Attack"
"14","Centre Attack"
"15","Attack (Behind Goal)"
